7;IJN655;FORD;FIESTA;1.6 AMBIENTE;NAFTA;2009;BEIGE;125.000;$ 7.900.000;$ 7.900.000;$ 8.000.000;$ 7.700.000;3,9%;Salto Grande;28;STOCK;$ 6.000.000;-22%;Cliente;$ 6.000.000;$ 6.233.766;$ 1.666.234;26,7%;;RG;;;
8;OKF623;FORD;FIESTA;1.6L TITANIUM PORWERSHIFT;NAFTA;2014;BLANCO;134.000;$ 13.500.000;$ 12.900.000;$ 15.180.000;$ 14.880.000;2,0%;Salto Grande;248;STOCK;$ 11.437.500;-29%;Cliente;$ 11.000.000;$ 10.851.328;$ 2.048.672;18,9%;;RG;;;
9;AC844BC;FORD;FIESTA;1.6L SE PLUS POWERSHIFT;NAFTA;2018;AZUL;58.000;$ 17.900.000;$ 17.600.000;$ 18.380.000;$ 17.880.000;2,8%;Funes Exclusivos;368;STOCK;$ 14.595.543;-17%;Metz;$ 13.621.000;$ 15.173.421;$ 2.426.579;16,0%;;RG;;;
10;OPM437;FORD;FOCUS;2.0L N MT SE 4 PTAS;NAFTA;2015;GRIS PLATA;120.000;$ 14.900.000;$ 14.600.000;$ 15.680.000;$ 15.280.000;2,6%;Funes Exclusivos;399;STOCK;$ 11.125.966;-25%;Cliente;$ 10.700.000;$ 11.724.136;$ 2.875.864;24,5%;;RG;;;
11;NNH686;FORD;KA;1.0 FLY VIRAL;NAFTA;2014;BLANCO;140.000;$ 10.500.000;$ 10.300.000;$ 10.250.000;$ 10.150.000;1,0%;Funes Exclusivos;220;STOCK;$ 9.015.101;-15%;Cliente;$ 8.000.000;$ 8.676.506;$ 1.623.494;18,7%;;RG;;;
12;AE478HX;FORD;KA;S 1.5L;NAFTA;2020;NEGRO;85.000;$ 16.500.000;$ 16.200.000;$ 18.000.000;$ 17.800.000;1,1%;Funes Exclusivos;256;STOCK;$ 14.918.638;-23%;Car France;$ 14.109.695;$ 13.928.189;$ 2.271.811;16,3%;;RG;;;
13;AF036UM;FORD;TERRITORY;TITANIUM 1.5L GTDI 4X2 AT;NAFTA;2021;MARRON;58.400;$ 35.700.000;$ 35.200.000;$ 33.800.000;$ 33.700.000;0,3%;Funes Exclusivos;40;STOCK;$ 30.180.000;-13%;Cliente;$ 30.000.000;$ 29.397.233;$ 5.802.767;19,7%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;GWX816;HYUNDAI;TUCSON;2.0 4WD CRDI AT;DIESEL;2008;NEGRO;166.000;$ 12.200.000;$ 12.000.000;$ 13.050.000;$ 13.250.000;-1,5%;Funes Exclusivos;135;STOCK;$ 9.174.810;-33%;Cliente;$ 8.500.000;$ 8.739.509;$ 3.260.491;37,3%;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;AC158YZ;HONDA;HR-V;EX CVT;NAFTA;2018;BORDO;160.000;$ 23.700.000;$ 23.400.000;$ 23.900.000;$ 24.100.000;-0,8%;Funes Exclusivos;138;STOCK;$ 20.225.000;-14%;Cliente;$ 20.000.000;$ 20.569.255;$ 2.830.745;13,8%;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;ORI887;MB;SLK;230 KOMPRESSOR;NAFTA;2003;GRIS PLATA;165.000;USD 32.000;CONSULTAR;;;;Funes Exclusivos;548;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;AB711NP;NISSAN;KICKS;1.6 EXCLUSIVE CVT;NAFTA;2017;GRIS OSCURO;102.000;$ 23.500.000;$ 23.200.000;$ 24.600.000;$ 24.500.000;0,4%;Funes Exclusivos;82;STOCK;$ 20.018.700;-19%;Kyoto;$ 19.400.000;$ 20.018.700;$ 3.181.300;15,9%;;RG;;;
18;NRI996;NISSAN;MARCH;VISIA;NAFTA;2014;BLANCO;180.000;$ 11.600.000;$ 11.300.000;$ 11.800.000;$ 11.750.000;0,4%;Funes Exclusivos;38;STOCK;$ 9.059.363;-22%;Cliente;$ 9.000.000;$ 9.176.007;$ 2.123.993;23,1%;;;;;
19;AA614BS;NISSAN;MARCH;ADVANCE PURE DRIVE;NAFTA;2016;GRIS PLATA;131.000;$ 13.900.000;$ 13.900.000;$ 15.450.000;$ 15.350.000;0,7%;Funes Exclusivos;82;STOCK;$ 11.252.991;-25%;Kyoto;$ 9.800.000;$ 11.552.074;$ 2.347.926;20,3%;;;;;
20;AF208FZ;NISSAN;SENTRA;2.0 ADVANCE CVT;NAFTA;2022;GRIS OSCURO;125.500;$ 28.400.000;$ 28.000.000;$ 31.200.000;$ 31.500.000;-1,0%;Funes Exclusivos;200;STOCK;$ 24.586.480;-21%;Kyoto;$ 23.881.480;$ 24.586.480;$ 3.413.520;13,9%;;RG;;;
21;KYV511;NISSAN;X-TRAIL;2.5 4X4 TEKNA XTRONIC CVT;NAFTA;2012;GRIS PLATA;214.000;$ 20.700.000;$ 19.900.000;$ 19.800.000;$ 20.000.000;-1,0%;Funes Exclusivos;76;STOCK;$ 15.370.000;-22%;Cliente;$ 15.100.000;$ 15.370.000;$ 4.530.000;29,5%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;AG698VF;PEUGEOT;208;ACTIVE PK AT AM24.5;NAFTA;2024;BLEU QUASAR;13.000;$ 24.600.000;$ 24.400.000;$ 23.500.000;$ 24.500.000;-4,1%;Funes Exclusivos;98;STOCK;$ 21.399.100;-9%;Metz;$ 21.045.100;$ 21.490.549;$ 2.909.451;13,5%;;RG;;;
23;2008ALL26;PEUGEOT;2008;ALLURE T200;NAFTA;2026;GRIS ARTENSE;0KM PAT;$ 42.500.000;$ 42.500.000;$ 42.900.000;$ 42.900.000;0,0%;Funes Exclusivos;207;STOCK;$ 39.000.000;-8%;AVEC;$ 39.000.000;$ 39.553.191;$ 2.946.809;7,5%;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;BKH288;PORSCHE;912;2.7;NAFTA;1966;ROJO;-;USD 100.000;CONSULTAR;-;-;#VALOR!;Funes Exclusivos;671;STOCK;$ 157.000;0%;ASFE;$ 157.000;#VALOR!;#VALOR!;#VALOR!;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;OAG985;RENAULT;CLIO MIO;5P CONFORT PLUS ABS ABCP;NAFTA;2014;GRIS ETOILE;165.000;$ 10.500.000;$ 10.500.000;$ 11.300.000;$ 11.400.000;-0,9%;Funes Exclusivos;181;STOCK;$ 7.722.169;-35%;Cliente;$ 7.500.000;$ 7.332.816;$ 3.167.184;43,2%;;RG;;;
26;PCI160;RENAULT;CLIO MIO;3P COMFORT;NAFTA;2015;BEIGE POIVRE;116.000;$ 10.500.000;$ 10.500.000;$ 11.400.000;$ 11.500.000;-0,9%;Funes Exclusivos;174;STOCK;$ 8.796.944;-27%;Cliente;$ 8.000.000;$ 8.357.097;$ 2.142.903;25,6%;;RG;;;
27;AA191ZS;RENAULT;DUSTER;EXPRESSION 1.6;NAFTA;2016;GRIS ACERO;86.000;$ 16.900.000;$ 16.600.000;$ 16.400.000;$ 16.600.000;-1,2%;Funes Exclusivos;98;STOCK;$ 14.248.610;-16%;Car France;$ 13.312.670;$ 13.827.053;$ 2.772.947;20,1%;;RG;;;
28;AA105CB;RENAULT;DUSTER;PRIVILEGE 1.6 4X2;NAFTA;2016;GRIS ACERO;70.000;$ 18.300.000;$ 17.900.000;$ 17.950.000;$ 18.150.000;-1,1%;Salto Grande;82;STOCK;$ 15.040.000;-18%;Car France;$ 14.000.000;$ 14.712.153;$ 3.187.847;21,7%;;;;;
29;JXF909;RENAULT;KANGOO;AUTHENTIQUE 1.5 DCI 1PLC;DIESEL;2011;GRIS ACERO;78.000;$ 11.700.000;$ 11.500.000;$ 10.400.000;$ 10.700.000;-2,8%;Funes Exclusivos;28;STOCK;$ 8.600.000;-20%;Cliente;$ 8.000.000;$ 8.358.879;$ 3.141.121;37,6%;;;;;
30;AE767OI;RENAULT;KWID;ZEN 1.0;NAFTA;2021;BLANCO GLACIAR;59.000;$ 15.300.000;$ 14.900.000;$ 15.400.000;$ 15.700.000;-1,9%;Funes Exclusivos;98;STOCK;$ 12.990.700;-16%;Car France;$ 11.688.700;$ 12.906.889;$ 1.993.111;15,4%;;RG;;;
31;GZI490;RENAULT;MEGANE II;2.0 16V LUXE;NAFTA;2008;GRIS CLARO;180.000;$ 8.300.000;$ 8.000.000;$ 8.360.000;$ 8.560.000;-2,3%;Salto Grande;67;STOCK;$ 5.812.000;-31%;Cliente;$ 5.700.000;$ 5.743.300;$ 2.256.700;39,3%;;RG;;;
32;MVL647;RENAULT;SANDERO;1.6 16V EXPRESSION;NAFTA;2013;NEGRO NACRE;125.000;$ 10.900.000;$ 10.600.000;$ 10.750.000;$ 10.850.000;-0,9%;Funes Exclusivos;81;STOCK;$ 8.414.900;-22%;Cliente;$ 8.300.000;$ 8.337.343;$ 2.262.657;27,1%;;RG;;;
33;ONW971;RENAULT;SANDERO;1.6 8V AUTHENTIQUE PACK I;NAFTA;2015;BLANCO GLACIAR;87.000;$ 11.500.000;$ 11.200.000;$ 11.300.000;$ 11.400.000;-0,9%;Salto Grande;58;STOCK;$ 9.000.000;-21%;Cliente;$ 8.700.000;$ 8.960.352;$ 2.239.648;25,0%;;;;;
34;AB754UN;RENAULT;SANDERO;EXPRESSION PACK;NAFTA;2017;BLANCO GLACIAR;51.000;$ 14.300.000;$ 14.000.000;$ 13.550.000;$ 13.750.000;-1,5%;Salto Grande;98;STOCK;$ 10.980.342;-27%;Car France;$ 10.365.342;$ 9.918.909;$ 4.081.091;41,1%;;;;;
35;AB046QG;RENAULT;SANDERO;GT LINE 1.6 16V;NAFTA;2017;NEGRO NACRE;100.000;$ 15.900.000;$ 15.700.000;$ 16.650.000;$ 16.850.000;-1,2%;Funes Exclusivos;110;STOCK;$ 12.718.000;-26%;Cliente;$ 12.500.000;$ 12.347.213;$ 3.352.787;27,2%;;RG;;;
36;AF440WC;RENAULT;SANDERO;INTENS 1.6;NAFTA;2022;AZUL COSMOS;76.000;$ 20.200.000;$ 19.900.000;$ 19.800.000;$ 20.000.000;-1,0%;Salto Grande;98;STOCK;$ 16.105.000;-21%;Kyoto;$ 15.855.000;$ 15.555.073;$ 4.344.927;27,9%;;;;;
37;AG498UE;RENAULT;SANDERO;LIFE 1.6;NAFTA;2024;AZUL COSMOS;54.000;$ 22.500.000;$ 22.200.000;$ 22.200.000;$ 22.000.000;0,9%;Funes Exclusivos;200;STOCK;$ 19.122.400;-16%;Kyoto;$ 18.492.400;$ 18.619.179;$ 3.580.821;19,2%;;RG;;;
38;MQA847;RENAULT;STEPWAY;EXPRESSION 1.6 16V;NAFTA;2013;NEGRO NACRE;144.000;$ 11.700.000;$ 11.400.000;$ 11.900.000;$ 12.000.000;-0,8%;Funes Exclusivos;273;STOCK;$ 9.778.279;-19%;Cliente;$ 9.000.000;$ 9.616.655;$ 1.783.345;18,5%;;RG;;;
39;JFS595;RENAULT;SYMBOL;PACK 1.6 8V;NAFTA;2010;AZUL CREPUSCULO;149.000;$ 7.000.000;$ 7.000.000;$ 7.930.000;$ 8.230.000;-3,6%;Salto Grande;210;STOCK;$ 6.735.166;-17%;Cliente;$ 5.500.000;$ 6.610.132;$ 389.868;5,9%;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;AF213GY;TOYOTA;SW4 ;SRX 4X4 AT 7A;DIESEL;2022;GRIS PLATA;60.000;USD 45.000;CONSULTAR;$ 55.000.000;$ 55.500.000;-0,9%;Funes Exclusivos;0;;;;;;;;;;;;;
41;AF295OQ;TOYOTA;YARIS;XLS 1.5 6M/T 4 PUERTAS;NAFTA;2022;GRIS PLATA;49.000;$ 26.900.000;$ 26.600.000;$ 26.000.000;$ 27.500.000;-5,5%;Funes Exclusivos;98;STOCK;$ 21.231.500;-16%;Kyoto;$ 20.531.500;$ 21.905.516;$ 4.694.484;21,4%;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;LDF734;VW;FOX;TRENDLINE 1.6;NAFTA;2012;GRIS PLATA;150.000;$ 11.900.000;$ 11.900.000;$ 11.700.000;$ 11.400.000;2,6%;Funes Exclusivos;21;STOCK;$ 8.300.000;-27%;Cliente;$ 8.300.000;$ 8.518.421;$ 3.381.579;39,7%;;RG;;;
43;AC354AY;VW;SURAN;TRACK 1.6;NAFTA;2017;GRIS PLATA;85.000;$ 16.200.000;$ 15.900.000;$ 16.700.000;$ 16.900.000;-1,2%;Funes Exclusivos;676;STOCK;$ 14.036.255;-15%;Cliente;$ 13.500.000;$ 14.206.391;$ 1.693.609;11,9%;;RG;;;
44;AA110ZK;VW;UP;HIGH 1.0 MPI 5 PTAS;NAFTA;2016;GRIS OSCURO;146.400;$ 14.500.000;$ 14.300.000;$ 13.600.000;$ 14.100.000;-3,5%;Funes Exclusivos;200;STOCK;$ 12.231.846;-19%;Metz;$ 10.975.100;$ 11.016.762;$ 3.283.238;29,8%;;RG;;;
45;GOO700;VW;BORA;2.0 TRENDLINE;NAFTA;2007;GRIS PLATA;180.000;$ 11.100.000;$ 10.800.000;$ 12.100.000;$ 12.200.000;-0,8%;Chap - Japo;10;;$ 7.000.000;-43%;;$ 7.000.000;$ 6.942.623;$ 3.857.377;55,6%;;;;;
46;AD306ZT;VW;UP;PEPPER 1.0 TSI;NAFTA;2018;AZUL;83.000;$ 18.900.000;$ 18.500.000;$ 17.400.000;$ 17.900.000;-2,8%;Funes Exclusivos;82;STOCK;$ 14.500.000;-22%;Car France;$ 14.300.000;$ 13.637.838;$ 4.862.162;35,7%;;;;;
47;IZD432;VW;GOL ;POWER 1.6 3P;NAFTA;2010;ROJO;149.000;$ 6.500.000;$ 6.500.000;$ 7.400.000;$ 7.300.000;1,4%;Salto Grande;13;STOCK;$ 4.800.000;-34%;Cliente;$ 4.800.000;$ 4.865.753;$ 1.634.247;33,6%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;DOMINIO;MARCA;MODELO ;VERSION;MOTOR;AÑO;COLOR;KM;PRECIO PERMUTA;PRECIO CONTADO;INFO MAYO 2026;INFO ABRIL 2026;DIF INFO NOV '25/OCT '25;UBICACIÓN;ANTIG;STATUS;COSTO;Ref. Compra / Info;Proveedor;Facturacion;Facturacion;Facturacion;Facturacion;;;;;
1;A027REH;BMW;R1200;GS;NAFTA;2017;GRIS + ROJO (AZUL);10.100;USD 25.900;USD 24.900;-;;#VALOR!;Funes Exclusivos;-;STOCK;;;;;;;;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caución $500.000. Para el retiro del vehículo es necesario que envien recibo de pago NACIONAL y PROVINCIAL.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informes entrega usado $220.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;48;;;;45;;;;;;;;;;;;;;;;;;;;
;;;Funes Exclusivos;36;;;STOCK;45;;;;;;;;;;;;;;;;;;;;
;;;Salto Grande;10;;;CONSIGNACION;0;;;;;;;;;;;;;;;;;;;;
;;;Sarmiento;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;A Ingresar;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;Chap - Diego;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;Chap - Japo;2;;;;;;;;;;;;;;;;;;;;;;;;
;;;Bollos - Emi;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;Mec - Marcelo;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
